INFO | Calculate | 2024-04-01 12:11:46,129 | 12 | Считан знак операции: *
INFO | Calculate | 2024-04-01 12:11:48,122 | 15 | Считано первое число: 2.0
INFO | Calculate | 2024-04-01 12:11:48,550 | 17 | Считано второе число: 2.0
INFO | Calculate | 2024-04-01 12:11:48,550 | 26 | Выполнилось умножение чисел
INFO | Calculate | 2024-04-01 12:12:09,423 | 12 | Считан знак операции: 0
INFO | Calculate | 2024-03-29 01:12:39,926 | 12 | Считан знак операции: -
INFO | Calculate | 2024-03-29 01:12:41,546 | 15 | Считано первое число: 3.0
INFO | Calculate | 2024-03-29 01:12:42,982 | 17 | Считано второе число: 4.0
INFO | Calculate | 2024-03-29 01:12:42,982 | 23 | Выполнилось вычитание чисел
INFO | Calculate | 2024-03-29 22:17:34,662 | 12 | Считан знак операции: -
INFO | Calculate | 2024-03-29 22:17:36,442 | 15 | Считано первое число: 5.0
INFO | Calculate | 2024-03-29 22:17:37,724 | 17 | Считано второе число: 9.0
INFO | Calculate | 2024-03-29 22:17:37,725 | 23 | Выполнилось вычитание чисел
INFO | Calculate | 2024-03-29 22:19:25,117 | 12 | Считан знак операции: 0
INFO | Calculate | 2024-03-29 23:11:52,105 | 12 | Считан знак операции: /
INFO | Calculate | 2024-03-29 23:11:53,432 | 15 | Считано первое число: 9.0
INFO | Calculate | 2024-03-29 23:11:54,179 | 17 | Считано второе число: 0.0
